a,b,cos,inliers,n_photos,photo_a,photo_b
1015389398,694876548,0.9766402244567871,363,3,1015389398/2.jpg,694876548/0.jpg
1011550767,1015677631,0.9721680283546448,363,1,1011550767/1.jpg,1015677631/2.jpg
1015404244,1015847702,0.9746017456054688,361,1,1015404244/2.jpg,1015847702/1.jpg
1015814690,1015844183,0.9991163611412048,359,2,1015814690/2.jpg,1015844183/3.jpg
1015576622,1015578580,0.9016169309616089,359,1,1015576622/1.jpg,1015578580/1.jpg
1010965954,1015414861,0.997937798500061,356,3,1010965954/1.jpg,1015414861/2.jpg
1006345974,1015909076,0.9919207096099854,353,6,1006345974/0.jpg,1015909076/0.jpg
1015813047,1015814690,0.99693363904953,344,1,1015813047/3.jpg,1015814690/3.jpg
1015764758,1015902485,0.9996210932731628,342,3,1015764758/3.jpg,1015902485/3.jpg
1015568596,1015759894,0.994596540927887,342,2,1015568596/0.jpg,1015759894/1.jpg
1015797342,1015807067,0.9966062307357788,339,3,1015797342/1.jpg,1015807067/2.jpg
1015504683,1015797277,0.9889717102050781,339,3,1015504683/2.jpg,1015797277/3.jpg
1015485195,1015886890,0.9821903109550476,338,1,1015485195/2.jpg,1015886890/3.jpg
1010264310,1010264393,0.9994792938232422,336,3,1010264310/2.jpg,1010264393/0.jpg
1015477629,1015827896,0.975105881690979,333,1,1015477629/1.jpg,1015827896/3.jpg
1015399198,1015573714,0.9700220227241516,333,1,1015399198/1.jpg,1015573714/2.jpg
1007102091,1010466478,0.9497222900390625,329,1,1007102091/0.jpg,1010466478/2.jpg
1015766458,1015770301,0.9995666742324829,324,2,1015766458/1.jpg,1015770301/1.jpg
1005092019,1015927835,0.982127845287323,323,1,1005092019/0.jpg,1015927835/0.jpg
1015799240,1015833426,0.9669069051742554,322,1,1015799240/0.jpg,1015833426/2.jpg
1015805115,1015833426,0.9616979360580444,321,1,1015805115/0.jpg,1015833426/2.jpg
1015526987,1015797277,0.9982668161392212,319,1,1015526987/3.jpg,1015797277/3.jpg
1015771498,1015833426,0.972349226474762,319,1,1015771498/0.jpg,1015833426/0.jpg
1015504683,1015526987,0.9883093237876892,318,1,1015504683/2.jpg,1015526987/3.jpg
1015636132,1015914412,0.9634174108505249,318,2,1015636132/0.jpg,1015914412/0.jpg
